"id","client_id","created_by","transaction_date","amount","description","category","created_at","updated_at"
"c08a590f-9bd4-4d99-9dfe-d647e1b8e7cf","21be3212-0a2f-4750-9c7c-08f24c677a02","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-16","1000.50","Test transaction","Test","2025-01-17 03:25:21.270448","2025-01-17 03:25:21.270448"
"9a184e85-fb93-4f62-937a-2ba0ae323f0d","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","1000.50","Software license payment","License","2025-01-17 03:34:16.886589","2025-01-17 03:34:16.886589"
"f68af25f-8f66-43ae-8c21-c0be708e7d4b","21be3212-0a2f-4750-9c7c-08f24c677a02","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-16","500.75","Healthcare consultation","Consultation","2025-01-17 03:34:21.873239","2025-01-17 03:34:21.873239"
"a07aef00-1fb8-47ca-8872-2f58431e783e","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","1000.50","Software license payment","License","2025-01-17 03:35:42.747537","2025-01-17 03:35:42.747537"
"3e363f28-1988-4f17-bcfb-b333b8d8b72a","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","800.50","Updated tech service with support","Service","2025-01-17 03:36:02.166092","2025-01-17 03:36:00.548991"
"e83bc883-2ef6-4478-a4bf-7dab68dfd273","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","1000.50","Software license payment","License","2025-01-17 03:37:48.448261","2025-01-17 03:37:48.448261"
"b94406bd-6392-4c40-8377-d21bae5dea2c","21be3212-0a2f-4750-9c7c-08f24c677a02","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-16","500.75","Healthcare consultation","Consultation","2025-01-17 03:37:53.024287","2025-01-17 03:37:53.024287"
"b69916f1-a85f-4346-8ed4-b932e3431523","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","800.50","Updated tech service with support","Service","2025-01-17 03:38:07.9105","2025-01-17 03:38:06.295457"
"68b0896b-ecb6-4ae0-8808-b8a78ea01656","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-17","1000.50","Software license payment","License","2025-01-17 11:53:07.449791","2025-01-17 11:53:07.449791"
"6529d84f-1e41-4296-8141-46e74b067367","21be3212-0a2f-4750-9c7c-08f24c677a02","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-17","500.75","Healthcare consultation","Consultation","2025-01-17 11:53:11.985401","2025-01-17 11:53:11.985401"
"4aaa6089-53a8-4843-b7f1-eb15275a2dfd","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-17","800.50","Updated tech service with support","Service","2025-01-17 11:53:26.716612","2025-01-17 11:53:23.647245"
"9eec3c7b-80db-490d-8d90-0c656be0ed93","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-17","1000.50","Software license payment","License","2025-01-17 13:10:21.592217","2025-01-17 13:10:21.592217"
"bee39fb1-db2f-4d26-8ee4-b838e373b1ff","21be3212-0a2f-4750-9c7c-08f24c677a02","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-17","500.75","Healthcare consultation","Consultation","2025-01-17 13:10:26.299749","2025-01-17 13:10:26.299749"
"3f27f7e0-2527-4a99-8725-2847f9e71b02","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-17","800.50","Updated tech service with support","Service","2025-01-17 13:10:41.177759","2025-01-17 13:10:42.689756"
"ac5026f7-ad25-4fa0-a245-aa53f3398098","a30f6cf1-c914-4951-94c1-bea5a57006b2","4b5b8957-db65-480d-bb9b-f0ed95f94a22","2025-01-17","130.00","Software license payment","License","2025-01-17 13:39:38.669632","2025-01-17 13:39:38.669632"
"2a73bb55-e17c-4145-9b8b-d0f759479031","a30f6cf1-c914-4951-94c1-bea5a57006b2","a062c4ea-9a96-43fb-b7a2-410a0bd42117","2025-01-16","800.50","New Updated tech service with support","Service","2025-01-17 03:34:36.549077","2025-01-17 13:45:08.462277"